"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"12624",0,3.22254264893,2,10,9,3,1,1,0.38,9
"12625",1,2.85063808941,4,9,9,3,1,1,1.02,7
"12626",1,3.23451567302,2,10,9,1,1.5,1,1.78,10
"12627",2,3.58235830397,3,10,8,3,1,2,0.33,10
"12628",1,2.23442137051,2,10,10,1,1,2,2.03,10
"12629",1,3.69490511649,2,10,10,4,1,1,0.11,10
"12630",1,2.90590864078,2,10,9,4,1,2,0.6,9
"12631",0,3.25330775792,2,0,0,3,1,1,0.53,0
"12632",1,2.77158146937,2,10,9,1,1,1,1.36,9
"12633",1,3.68997601427,2,10,9,2,0.5,1,1.78,9
"12634",0,3.1526704957,4,10,9,2,1,2,3.13,10
"12635",1,2.95149402627,2,10,9,2,1,1,0.25,8
"12636",1,3.04643384905,2,10,9,4,1,2,0.19,10
"12637",1,2.75347746524,4,10,10,4,1,1,0.44,10
"12638",1,3.25162943001,2,0,0,4,1,1,0,0
"12639",1,3.04917479257,3,0,0,2,1,1,0,0
"12640",2,3.02596178868,4,0,0,1,1,2,0,0
"12641",1,2.64112706411,2,10,10,1,1,1,0.46,8
"12642",2,3.17429871796,2,10,9,2,1,1,0.64,8
"12643",2,3.01191122561,3,10,9,2,2,3,0.75,9
"12644",1,3.35174622306,2,10,9,2,1,2,0.39,9
"12645",1,2.30389797596,2,0,0,1,1,1,0,0
"12646",1,3.07117440525,2,10,9,3,1,1,1.57,9
"12647",1,2.18862628671,2,10,10,1,1,1,1,10
"12648",2,3.01515950833,4,8,8,1,1,3,2.57,8
"12649",1,2.77214405387,4,9,9,2,1,4,0.59,8
"12650",0,3.33664860621,2,10,6,3,1,1,0.06,8
"12651",1,3.07288721129,4,10,10,2,1,2,0.75,10
"12652",2,2.61241468359,4,10,9,3,1,2,0.39,9
"12653",1,2.45011871389,2,9,9,1,1,2,3.89,9
"12654",2,3.64964520129,4,10,8,4,1,4,0.31,9
"12655",1,3.76441602451,2,10,9,1,0.5,1,3.07,10
"12656",1,2.24086330467,3,10,9,3,1,1,1.47,9
"12657",1,2.42765651723,2,0,0,3,1,1,0,0
"12658",1,3.41544887862,4,10,8,4,1.5,2,0.16,10
"12659",1,3.06774732268,2,10,8,1,1,1,0.75,8
"12660",2,3.08310724838,3,0,0,4,1,2,0,0
"12661",2,2.28864214431,2,10,9,2,1,1,0.84,10
"12662",1,2.93828547824,2,10,9,1,1,1,2.29,9
"12663",2,2.3151354975,2,10,9,4,1,2,0.15,10
"12664",2,2.86748225159,3,10,8,1,1,2,2.74,9
"12665",1,2.23466594722,2,10,9,3,1,1,2.87,9
"12666",1,3.0338590981,2,10,8,2,1.5,1,2,9
"12667",1,3.6678312831,2,10,8,4,1,2,0.71,8
"12668",2,2.9208767441,2,0,0,1,1,2,0,0
"12669",2,2.40003781552,3,10,8,2,1,2,0.7,8
"12670",1,3.01770991678,2,10,9,1,1,1,0.72,10
